"Name","SamAccountName","GroupCategory","GroupScope","Description","DistinguishedName"
"Access Control Assistance Operators","Access Control Assistance Operators","Security","DomainLocal","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","CN=Access Control Assistance Operators,CN=Builtin,DC=Corp,DC=local"
"Account Operators","Account Operators","Security","DomainLocal","Members can administer domain user and group accounts","CN=Account Operators,CN=Builtin,DC=Corp,DC=local"
"Accounting Group","Accounting Group","Security","Global",,"CN=Accounting Group,OU=Domain Groups,DC=Corp,DC=local"
"Administrators","Administrators","Security","DomainLocal","Administrators have complete and unrestricted access to the computer/domain","CN=Administrators,CN=Builtin,DC=Corp,DC=local"
"Allowed RODC Password Replication Group","Allowed RODC Password Replication Group","Security","DomainLocal","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","CN=Allowed RODC Password Replication Group,CN=Users,DC=Corp,DC=local"
"Backup Operators","Backup Operators","Security","DomainLocal","Backup Operators can override security restrictions for the sole purpose of backing up or restoring files","CN=Backup Operators,CN=Builtin,DC=Corp,DC=local"
"Cert Publishers","Cert Publishers","Security","DomainLocal","Members of this group are permitted to publish certificates to the directory","CN=Cert Publishers,CN=Users,DC=Corp,DC=local"
"Certificate Service DCOM Access","Certificate Service DCOM Access","Security","DomainLocal","Members of this group are allowed to connect to Certification Authorities in the enterprise","CN=Certificate Service DCOM Access,CN=Builtin,DC=Corp,DC=local"
"Cloneable Domain Controllers","Cloneable Domain Controllers","Security","Global","Members of this group that are domain controllers may be cloned.","CN=Cloneable Domain Controllers,CN=Users,DC=Corp,DC=local"
"Cryptographic Operators","Cryptographic Operators","Security","DomainLocal","Members are authorized to perform cryptographic operations.","CN=Cryptographic Operators,CN=Builtin,DC=Corp,DC=local"
"Customer Relations Group","Customer Relations Group","Security","Global",,"CN=Customer Relations Group,OU=Domain Groups,DC=Corp,DC=local"
"Denied RODC Password Replication Group","Denied RODC Password Replication Group","Security","DomainLocal","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","CN=Denied RODC Password Replication Group,CN=Users,DC=Corp,DC=local"
"DHCP Administrators","DHCP Administrators","Security","DomainLocal","Members who have administrative access to the DHCP Service","CN=DHCP Administrators,CN=Users,DC=Corp,DC=local"
"DHCP Users","DHCP Users","Security","DomainLocal","Members who have view-only access to the DHCP service","CN=DHCP Users,CN=Users,DC=Corp,DC=local"
"Distributed COM Users","Distributed COM Users","Security","DomainLocal","Members are allowed to launch, activate and use Distributed COM objects on this machine.","CN=Distributed COM Users,CN=Builtin,DC=Corp,DC=local"
"DnsAdmins","DnsAdmins","Security","DomainLocal","DNS Administrators Group","CN=DnsAdmins,CN=Users,DC=Corp,DC=local"
"DnsUpdateProxy","DnsUpdateProxy","Security","Global","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).","CN=DnsUpdateProxy,CN=Users,DC=Corp,DC=local"
"Domain Admins","Domain Admins","Security","Global","Designated administrators of the domain","CN=Domain Admins,CN=Users,DC=Corp,DC=local"
"Domain Computers","Domain Computers","Security","Global","All workstations and servers joined to the domain","CN=Domain Computers,CN=Users,DC=Corp,DC=local"
"Domain Controllers","Domain Controllers","Security","Global","All domain controllers in the domain","CN=Domain Controllers,CN=Users,DC=Corp,DC=local"
"Domain Guests","Domain Guests","Security","Global","All domain guests","CN=Domain Guests,CN=Users,DC=Corp,DC=local"
"Domain Users","Domain Users","Security","Global","All domain users","CN=Domain Users,CN=Users,DC=Corp,DC=local"
"Engineering Group","Engineering Group","Security","Global",,"CN=Engineering Group,OU=Domain Groups,DC=Corp,DC=local"
"Enterprise Admins","Enterprise Admins","Security","Universal","Designated administrators of the enterprise","CN=Enterprise Admins,CN=Users,DC=Corp,DC=local"
"Enterprise Key Admins","Enterprise Key Admins","Security","Universal","Members of this group can perform administrative actions on key objects within the forest.","CN=Enterprise Key Admins,CN=Users,DC=Corp,DC=local"
"Enterprise Read-only Domain Controllers","Enterprise Read-only Domain Controllers","Security","Universal","Members of this group are Read-Only Domain Controllers in the enterprise","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=Corp,DC=local"
"Event Log Readers","Event Log Readers","Security","DomainLocal","Members of this group can read event logs from local machine","CN=Event Log Readers,CN=Builtin,DC=Corp,DC=local"
"Executives Group","Executives Group","Security","Global",,"CN=Executives Group,OU=Domain Groups,DC=Corp,DC=local"
"External Trust Accounts","External Trust Accounts","Security","Global","All external trust accounts in the domain.","CN=External Trust Accounts,CN=Users,DC=Corp,DC=local"
"Finance Group","Finance Group","Security","Global",,"CN=Finance Group,OU=Domain Groups,DC=Corp,DC=local"
"Forest Trust Accounts","Forest Trust Accounts","Security","Global","All forest trust accounts in the forest.","CN=Forest Trust Accounts,CN=Users,DC=Corp,DC=local"
"Group Policy Creator Owners","Group Policy Creator Owners","Security","Global","Members in this group can modify group policy for the domain","CN=Group Policy Creator Owners,CN=Users,DC=Corp,DC=local"
"Guests","Guests","Security","DomainLocal","Guests have the same access as members of the Users group by default, except for the Guest account which is further restricted","CN=Guests,CN=Builtin,DC=Corp,DC=local"
