"Name","DistinguishedName","Description","ProtectedFromAccidentalDeletion"
"Accounting","OU=Accounting,OU=Departments,DC=Corp,DC=local",,"True"
"Contractors","OU=Contractors,DC=Corp,DC=local",,"True"
"Customer Relations","OU=Customer Relations,OU=Departments,DC=Corp,DC=local",,"True"
"Departments","OU=Departments,DC=Corp,DC=local",,"True"
"Disabled Users","OU=Disabled Users,DC=Corp,DC=local",,"True"
"Domain Controllers","OU=Domain Controllers,DC=Corp,DC=local","Default container for domain controllers","False"
"Domain Groups","OU=Domain Groups,DC=Corp,DC=local",,"True"
"Engineering","OU=Engineering,OU=Departments,DC=Corp,DC=local",,"True"
"Executives","OU=Executives,OU=Departments,DC=Corp,DC=local",,"True"
"File Servers","OU=File Servers,OU=Servers,DC=Corp,DC=local",,"True"
"Finance","OU=Finance,OU=Departments,DC=Corp,DC=local",,"True"
"HR","OU=HR,OU=Departments,DC=Corp,DC=local",,"True"
"IT","OU=IT,OU=Departments,DC=Corp,DC=local",,"True"
"Privileged Accounts","OU=Privileged Accounts,DC=Corp,DC=local",,"True"
"Security","OU=Security,OU=Departments,DC=Corp,DC=local",,"True"
"Servers","OU=Servers,DC=Corp,DC=local",,"True"
"Service Accounts","OU=Service Accounts,DC=Corp,DC=local",,"True"
"Workstations","OU=Workstations,DC=Corp,DC=local",,"True"
